Postcode,Region,Farm,Beet,Beans,Grass,Maize,OSR,Other,Potatoes,Spring _barley,Spring_wheat,Winter_barley,Winter_wheat,Resoultion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV33 9QB,Oxfordshire,RF,0,0,447820.8435,0,631075.3742,107642.6866,0,0,0,350023.8343,320012.5642,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV35 0HQ,Oxfordshire,DB,0,106652.413,440591.2938,0,0,481141.9763,0,314439.6528,0,88822.44134,1130264.227,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LN5 0RD,Nottinghamshire,CL,0,177297.6639,383128.2411,0,365329.849,49726.63076,0,229229.4237,0,227522.9518,845504.9856,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LN5 0SP,Nottinghamshire,WB,0,375438.6577,103956.7292,0,159848.2907,930576.2424,0,0,23189.72132,170274.7615,986850.4882,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 1EJ,Bedfordshire,WW,0,0,213923.217,0,639852.8846,379567.7993,0,0,0,0,1135178.075,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 1QT,Bedfordshire,MF,0,343519.2105,494478.5631,16075.87254,137192.5707,688576.4951,0,39894.04121,0,372112.5963,745309.2312,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 2BU,Bedfordshire,DU,0,590616.2104,217607.6945,0,652302.7113,511836.6358,0,245885.9619,0,29621.35426,430050.0325,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 2EE,Bedfordshire,TE,0,82150.92562,59162.95803,0,480618.7722,1043665.685,0,1028.28577,58168.73816,132080.5069,734512.4547,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 2PD,Bedfordshire,JP,0,142921.7515,839748.0616,0,0,272640.3845,0,0,0,120009.8002,1159799.852,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG13 9LF,Nottinghamshire,MC,0,184720.6682,122753.6186,0,675914.1193,307773.0364,0,0,24.20288074,173789.2007,1156463.269,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG13 9PE,Nottinghamshire,WS,0,84959.81839,924084.9344,0,232330.7141,129661.8344,29997.06022,0,107420.8586,81726.84717,536201.9458,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG32 3HX,Nottinghamshire,AS,0,735.0166669,503257.4403,0,393239.1363,278261.4207,0,40953.92527,138410.3424,221490.4671,604493.8401,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN29 7JT,Bedfordshire,WG,0,48858.62447,515354.807,0,378733.3326,501667.8517,0,0,1913.436929,0,855255.4352,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR15 1RT,Norfolk,DS,333452.5703,171483.4268,308267.1495,0,106682.2911,255440.772,0,97488.16825,0,505621.1807,667428.0796,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR15 2QL,Norfolk,TW,121379.8923,269812.6839,414333.4941,0,302252.7797,146679.4201,0,0,58944.67926,437874.5494,704270.1577,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR16 1SN,Norfolk,WE,529354.0639,0,15183.53026,0,58499.55054,0,0,409661.5474,75531.17271,187029.871,1081154.111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX17 1AS,Oxfordshire,RH,0,271879.6115,430809.4919,89986.75532,720039.5631,0,0,145702.9384,77903.54567,368150.1828,778592.2486,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX17 1QB,Oxfordshire,AT,0,0,674854.1199,0,208406.9681,86407.59713,0,0,724928.1584,0,756045.6961,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE26 2XF,Cambridgeshire,PD,46259.63579,138365.4383,89464.67799,0,972257.8814,240574.6606,20080.02919,0,23514.5742,320186.266,1076902.367,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE28 3LY,Cambridgeshire,JB,0,381257.1792,255771.4956,0,0,0,0,44973.48099,224234.908,24444.05505,833477.8441,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE28 5RR,Cambridgeshire,PW,0,0,180921.1539,0,498186.6337,251908.9118,0,0,59413.33142,0,1401074.873,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE7 2HP,Cambridgeshire,JW,385586.1744,0,246051.0163,0,111928.6687,451880.9412,107804.7856,0,4057.831344,91209.56085,1592618.415,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO30 1AA,Yorkshire,BL,0,135775.1031,497667.1534,21142.15019,0,1400883.311,115830.6027,25741.35143,298556.3854,0,7903.586095,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO30 1AN,Yorkshire,JJ,0,0,217448.1953,820.0968878,260584.4083,1244738.817,79189.4833,0,560804.6032,112871.0126,312116.1296,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO32 2RE,Yorkshire,MG,0,206653.9211,744792.7556,0,2765.316116,1127555.378,4564.039757,267407.1697,39345.9064,232670.1964,30180.62481,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO32 2RQ,Yorkshire,BM,0,312217.4998,569352.8022,0,46046.80817,1326845.096,128913.7807,92574.51975,66428.25604,116886.3591,86305.45159,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO61 3LG,Yorkshire,IE,0,87828.5862,599661.5239,0,97511.48441,427447.8227,139379.2152,40457.41327,96871.29716,218029.5067,651416.4316,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV33 9QB,Oxfordshire,RF,0,392958.6915,2417555.58,0,649405.2295,1105021.541,0,0,84057.29449,1169384.619,1863029.645,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV35 0HQ,Oxfordshire,DB,0,451180.5727,3148168.93,0,0,1266243.464,0,1093492.681,76561.25726,562734.6843,3564251.55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LN5 0RD,Nottinghamshire,CL,0,299619.7381,1766809.787,0,1684230.933,1324634.427,64601.86886,375665.497,284065.0339,465944.8291,3221567.733,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LN5 0SP,Nottinghamshire,WB,134908.8792,1084950.768,860821.7059,290855.2364,1526028.615,3446130.86,108103.32,82567.30247,700840.4997,464920.1299,2954917.514,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 1EJ,Bedfordshire,WW,0,425430.7079,812201.9861,0,2719663.133,1363842.133,0,46938.14226,,150919.1088,4572184.741,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 1QT,Bedfordshire,MF,0,475846.0386,2225090.171,51738.26928,1142863.839,1753479.913,0,403829.799,27363.97843,475640.9705,3205541.881,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 2BU,Bedfordshire,DU,0,807418.2572,548566.2566,0,2080280.139,2274340.707,0,1343141.165,4618.516403,662044.2468,3502633.62,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 2EE,Bedfordshire,TE,0,1695945.468,675418.8363,0,1243961.382,3931318.54,0,691268.734,58168.73816,355619.0592,2337332.304,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK44 2PD,Bedfordshire,JP,54848.2472,628436.3639,1754403.786,40002.99758,830339.9911,2048774.463,0,351380.5663,39885.81732,593888.9111,3743864.96,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG13 9LF,Nottinghamshire,MC,0,694847.7708,867905.0317,99024.74815,2371400.333,2147322.543,0,145699.8781,158473.9179,538943.263,3976875.44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG13 9PE,Nottinghamshire,WS,0,246101.1955,2029493.658,458746.052,1513961.354,1393751.519,134328.3735,104581.4866,572547.7067,911541.0067,2964691.111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG32 3HX,Nottinghamshire,AS,805643.6881,224027.6339,1670690.097,0,1067694.692,1180687.484,171676.5665,570673.3793,246465.9829,1193436.309,3093169.077,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN29 7JT,Bedfordshire,WG,0,713821.2461,2098686.396,44621.42944,2162704.86,1900197.497,0,0,186389.4775,0,3587265.541,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR15 1RT,Norfolk,DS,511286.9934,605081.2663,2785008.667,85046.26038,824873.1668,830482.5462,0,123753.7711,505994.7127,973906.0861,1460984.713,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR15 2QL,Norfolk,TW,520887.5526,918970.6346,1204655.774,0,1001362.5,677573.7761,0,405000.2816,613832.1782,1781143.486,3348535.458,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR16 1SN,Norfolk,WE,827234.7481,345538.8539,440687.22,46961.61107,868449.4259,474094.7822,0,725985.3408,130931.9339,1702449.932,4000559.885,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX17 1AS,Oxfordshire,RH,0,972895.6824,3313544.896,138456.6241,1604282.016,460116.3968,0,507321.5775,153683.951,726717.0038,2534314.032,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX17 1QB,Oxfordshire,AT,0,281535.6772,3527584.875,0,1444051.463,325957.0167,0,435807.4003,1328531.01,361862.1566,2384948.773,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE26 2XF,Cambridgeshire,PD,517480.7141,691353.0157,883708.4336,4300.962812,1221403.148,679240.5037,418851.7688,168709.7237,86286.55954,804991.2378,5056673.268,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE28 3LY,Cambridgeshire,JB,63913.32355,843244.7777,2736751.512,0,146912.9924,207809.6956,177534.4247,244471.7375,409393.3386,214084.0088,3363427.213,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE28 5RR,Cambridgeshire,PW,0,884081.483,840444.5247,0,2979307.958,1061574.955,0,761765.5872,507482.1577,441076.8277,3616380.256,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE7 2HP,Cambridgeshire,JW,1222416.1,1169871.107,287364.8334,0,888605.0147,975789.2854,1043204.57,176939.1381,452764.5311,364282.3078,5191967.557,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO30 1AA,Yorkshire,BL,0,849633.3375,1085500.412,21142.14271,278477.1851,5936653.307,397559.2646,96855.0089,1240914.647,204786.493,671723.9195,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO30 1AN,Yorkshire,JJ,0,268194.2592,2433096.739,21142.14271,418837.5487,5198966.894,362517.7079,8067.595976,789028.6039,484234.2551,939924.6956,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO32 2RE,Yorkshire,MG,0,1030985.955,2800139.628,0,511668.5582,5364708.129,128913.7749,297045.8488,102574.7567,286662.7485,248331.7512,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO32 2RQ,Yorkshire,BM,0,1006122.377,1933362.523,21142.14271,137403.0662,6513864.3,181506.8315,293148.5281,200591.2516,256408.0864,181761.8291,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YO61 3LG,Yorkshire,IE,94699.58015,180876.7363,2564191.581,0,501553.7785,3230441.777,512056.1024,297867.9385,956251.8173,1093748.112,1297431.153,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
